,Years,Countries
0,2019,USA
1,2018,AUS
2,2017,AUS
3,2016,AUS
4,2015,USA
5,2014,AUS
6,2013,USA
7,2012,AUS
8,2011,USA
9,2010,AUS
10,2009,AUS
11,2008,AUS
12,2007,AUS
13,2006,AUS
14,2005,AUS
15,2003,AUS
16,2002,AUS
17,2001,AUS
18,2000,AUS
19,1999,AUS
20,1998,AUS
21,1997,USA
22,1996,USA
23,1995,USA
24,1994,USA
25,1993,AUS
26,1992,AUS
27,1991,AUS
28,1990,AUS
29,1989,AUS
30,1988,AUS
31,1987,AUS
32,1986,AUS
33,1985,AUS
34,1984,AUS
35,1982,USA
36,1981,USA
37,1980,USA
38,1979,USA
39,1978,USA
40,1977,USA
41,1972,USA
42,1970,USA
43,1968,USA
44,1966,USA
45,1965,USA
46,1964,AUS
